STR_NR;AverageAnualTFlow
1000;44890
1011;40641.33333
1020;36287
1022;58658.75
1023;80781.6
1031;49365
1032;63830.83333
1033;44414.4
1040;54043.13043
1042;88416
1043;89952.66667
1100;53816.2
1110;44965
1113;67093
1120;134326.5278
1121;65792.33333
1122;45355.88889
1130;61399
1150;91505.33333
1151;91316
1153;118013.5714
1201;52018.66667
1204;32323
1206;31595
1210;46576.83871
1214;35826
1220;132401.4848
1224;152686
1225;192451.16
1226;61159.42857
1230;203402.4545
1231;242092.0769
1232;190086.25
1234;124041.2
1239;111384
1240;334636.4286
1241;165033.9615
1242;65821.66667
1244;144417.7667
1245;333565.2
1250;268925.1111
1252;65572
1253;292401
1254;291347
1255;244261.3
1259;214976
1269;54995
1270;251112.0625
1271;210447.2581
1280;180208.0943
1281;102472.1818
1283;83353
1284;103208.1
1285;84893
1291;90382.875
1292;169753
1293;182404.6667
1300;59216
1310;37407
1311;36000
1400;78507.33333
1401;132753.6
1402;150321.6667
1404;82132.5
1410;110870.7778
1412;113229.25
1415;80287
1421;108342
1422;104970
1423;59920.57143
1424;97373.5
1500;79258.31034
1502;81013.5
1503;78892
1511;45383
1520;55521.66667
1522;50710
1560;83285
1570;54209.2
1572;58274
1575;32474.5
1576;67774
1600;60328.14286
1602;68249.2
1611;50574
1620;52449.5
1621;79742
1622;54642
1700;126708.8454
1701;164346.8571
1702;203413.6667
1703;130257.25
1704;94613.33333
1705;168578.4211
1710;140137.5217
1711;111033.875
1712;98849.5
1713;46608
1720;106607.6854
1730;133149.2439
1732;103148.2533
1733;98461.82609
1734;164526.6
1740;100598.1013
1741;103543.8
1743;88306.66667
1744;52812
1745;90586
1750;140818.6667
1751;188198.2857
1752;73986.5
1753;145277.25
1754;130458.6
1756;109652.25
1760;71927.49153
1761;98971.5
1770;82504.8
1771;89495.33333
1772;96477.8
1773;70810
1774;50679
1775;185961.8571
1800;107362
1801;147640
1803;79686
1804;78905
1810;67088.5
1812;36225
1816;84007
1817;63000.5
1820;91662
1900;78180.78571
1901;84802
1902;72040.8
1910;110651.3333
1911;91243
1912;116345.5
1913;94848
1914;94848
1920;39981
1921;94968
1922;121994
1923;34402
1930;36931
1932;54355.66667
1940;48303
1945;60052
1956;54487.83333
1960;101739.75
1962;58767.66667
2000;95102.33333
2010;70532.5
2011;45730
2013;98796.33333
2014;65095.66667
2026;62041
2100;98456.27778
2102;49022
2103;121908.2
2106;100336.6
2112;37980.5
2113;68647.83333
2120;84370.14286
2122;52763.42857
2123;40963
2125;165700.9091
2126;69082.875
2130;74850.71429
2132;70073
2140;109250.9
2142;122578
2143;105870.25
2150;125331.25
2151;111366.5
2152;48863.5
2153;46499.16667
2158;163801.2424
2160;159354.4
2161;122658.8333
2163;202157.1111
2164;191913.5
2165;47060.6
2167;45546.5
2168;98964.22222
2169;216088
2175;244724.8571
2183;166864.0833
2184;243246.9167
2187;175912
2190;131748.9375
2191;63390
2193;96542.14286
2195;79238.66667
2200;117885.9456
2201;91815.5
2202;101214.6667
2204;123545.1429
2206;42624.375
2207;61739
2208;109421.6471
2210;173725.5
2211;100636
2212;91493
2213;85671.1875
2221;86524.4
2222;67142
2223;64607.66667
2224;65003.5
2230;140124.2
2231;144830
2236;38326
2237;104742.8333
2239;138028.2857
2242;67810.66667
2243;45374.5
2246;60733.55556
2248;60168.85714
2250;90962.79487
2251;49302.5
2252;48265.33333
2253;30510
2263;74067.5
2265;89183.88889
2270;83670.77419
2271;102665.5556
2272;86861
2273;45505
2274;107277.8
2275;165013.75
2277;95484.06667
2278;97651.75
2280;119565.5556
2281;107899.8
2282;69325
2283;125414.5
2290;222067.9
2291;164263.303
2292;47562.66667
2300;229380.1667
2302;91000.75
2304;84039.16667
2307;87904
2310;207446.25
2311;138570
