HLK Name;Streckennummer;Zeitraum
Frankfurt - Mannheim;4010;2. HJ 2024
Emmerich - Oberhausen;2270;1. HJ 2025
Hamburg - Spandau;6100;2. HJ 2025
Emmerich - Oberhausen;2270;2. HJ 2025
Köln - Hagen;2730, 2550;1. HJ 2026
Hamburg - Hannover;1720;1. HJ 2026
Nürnberg - Reichswald - Regensburg;5850;1. HJ 2026
Obertraubling - Passau;5830;2. HJ 2026
Troisdorf - Koblenz;2324;2. HJ 2026
Koblenz - Wiesbaden;3507;2. HJ 2026
Frankfurt - Heidelberg;3601;1. HJ 2027
München-Ost - Rosenheim;5510;1. HJ 2027
Berlin - Lehrte;6185;1. HJ 2027
Bremen - Bremerhaven;1740;2. HJ 2027
Rosenheim - Salzburg;5703;2. HJ 2027
Köln - Dortmund - Hamm;2160, 2300, 2650;2. HJ 2027
Hamburg - Lübeck;1120;1. HJ 2028
Hamburg-Harburg - Bremen;2200;1. HJ 2028
Hürth/Kalscheuren - Koblenz;2630;1. HJ 2028
Koblenz - Mainz;2630;1. HJ 2028
Würzburg - Nürnberg;5910;1. HJ 2028
Hagen - Hamm;2550, 2840, 2103, 2932;1. HJ 2028
Uelzen - Stendal;6899;2. HJ 2028
Stendal - Magdeburg;6402;2. HJ 2028
Nordstemmen - Göttingen;1732;2. HJ 2028
Bebra - Fulda;3600;2. HJ 2028
Fulda - Flieden;3600;1. HJ 2029
Flieden - Hanau;3600;1. HJ 2029
Lehrte - Groß-Gleidingen;1730;1. HJ 2029
Köln - Achen/Achen-Süd-Grenze;2600;2. HJ 2029
Bremen /Rotenburg - Wunstorf;1740;2. HJ 2029
Forbach - Ludwigshafen;3250, 3280;2. HJ 2029
Stuttgart - Ulm;4700;2. HJ 2029
Erfurt - Bebra;6340;2. HJ 2029
Weddel - Magdeburg;6110;1. HJ 2030
Bremen - Osnabrück;2200;1. HJ 2030
Osnabrück - Münster;2200;1. HJ 2030
Kassel - Gießen - Friedberg;3900;1. HJ 2030
Würzburg - Treuchtlingen;5321;1. HJ 2030
Münster - Reckling-hausen-Süd;2200;2. HJ 2030
Wunstorf - Minden;1700;2. HJ 2030
Ulm - Augsburg;5302;2. HJ 2030
Mannheim - Karlsruhe;4020;2. HJ 2030
